,REPORT
3776,1. there are questionable segmental calcification in the upper left breast at mid depth.
3777,1. there are questionable segmental calcification in the upper left breast at posterior depth.
3778,1. there are questionable segmental calcification in the lower left breast.
3779,1. there are questionable segmental calcification in the lower left breast at anterior depth.
3780,1. there are questionable segmental calcification in the lower left breast at mid depth.
3781,1. there are questionable segmental calcification in the lower left breast at posterior depth.
3782,1. there are questionable segmental calcification in the inner left breast.
3783,1. there are questionable segmental calcification in the inner left breast at anterior depth.
3784,1. there are questionable segmental calcification in the inner left breast at mid depth.
3785,1. there are questionable segmental calcification in the inner left breast at posterior depth.
3786,1. there are questionable segmental calcification in the outer left breast.
3787,1. there are questionable segmental calcification in the outer left breast at anterior depth.
3788,1. there are questionable segmental calcification in the outer left breast at mid depth.
